Driver,Team,Compound,Sector1Time,Sector2Time,Sector3Time,TrackStatus,Session,AvgTemp,RainAmount_mm,RainProbability,WindSpeed_mps,Pressure_hPa,Humidity,UVIndex,DewPoint_C,LapTimeSeconds,StintLength,IsFastLap,DriverAvgPace,DriverSessionAvgPace,TeamMedianPace,TeamSessionMedianPace,IsSpanishGP,IsFP1,IsFP2,IsFP3,SessionProgression,IsCleanAir,AdjustedLapTime,DriverSessionLapCount,TrackEvolutionFactor
NOR,McLaren,SOFT,0 days 00:00:23.812000,0 days 00:00:32.171000,0 days 00:00:24.281000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.264,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,88.69171999999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.845000,0 days 00:00:32.229000,0 days 00:00:24.256000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.33,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,88.76465,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.850000,0 days 00:00:32.268000,0 days 00:00:24.202000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.32,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,88.75359999999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.816000,0 days 00:00:33.887000,0 days 00:00:24.270000,12.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.973,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,0,90.580165,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.897000,0 days 00:00:32.518000,0 days 00:00:24.477000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.892,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,89.38565999999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.982000,0 days 00:00:32.706000,0 days 00:00:24.564000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.252,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,89.78345999999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.974000,0 days 00:00:33.219000,0 days 00:00:24.712000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,81.905,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,90.505025,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.521000,0 days 00:00:32.430000,0 days 00:00:24.454000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.405,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,88.847525,25,1.0
NOR,McLaren,SOFT,0 days 00:00:23.901000,0 days 00:00:32.532000,0 days 00:00:24.486000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.919,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,89.41549499999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:33.245000,0 days 00:00:46.898000,0 days 00:00:38.941000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,119.084,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,131.58782,25,1.0
NOR,McLaren,SOFT,0 days 00:00:54.236000,0 days 00:00:35.350000,0 days 00:00:28.426000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,118.012,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,130.40326,25,1.0
BOR,Kick Sauber,HARD,0 days 00:00:22.934000,0 days 00:00:31.096000,0 days 00:00:23.592000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,77.622,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,85.77231,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:32.152000,0 days 00:00:51.841000,0 days 00:00:36.182000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,120.175,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,132.793375,19,1.0
BOR,Kick Sauber,HARD,0 days 00:00:22.923000,0 days 00:00:31.205000,0 days 00:00:23.560000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,77.688,0,0,98.9154423076923,97.95210526315789,81.53399999999999,81.5875,1,1,0,0,1,1,85.84524,19,1.0
